origin,destination,fare,f
Anuradhapura,Katunayake,1030.0,"[:Fare {fare: 1030.0, route_id: route_cb15d6ac_22_1767932250, route_type: Katunayake Expressway, fare_type: AC}]"
Anuradhapura,Thelwatta,995.0,"[:Fare {fare: 995.0, route_id: route_db78ea66_71_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Thelwatta,1040.0,"[:Fare {fare: 1040.0, route_id: route_db78ea66_463_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Thelwatta,995.0,"[:Fare {fare: 995.0, route_id: route_cb15d6ac_23_1767932250, route_type: Katunayake Expressway, fare_type: AC}]"
Anuradhapura,Puttalam,470.0,"[:Fare {fare: 470.0, route_id: route_db78ea66_146_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Puttalam,480.0,"[:Fare {fare: 480.0, route_id: route_db78ea66_74_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Navagaththegama,460.0,"[:Fare {fare: 460.0, route_id: route_db78ea66_470_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Galigamuwa,320.0,"[:Fare {fare: 320.0, route_id: route_db78ea66_193_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Galigamuwa,335.0,"[:Fare {fare: 335.0, route_id: route_db78ea66_471_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Thabuththegama,240.0,"[:Fare {fare: 240.0, route_id: route_db78ea66_472_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Thabuththegama,225.0,"[:Fare {fare: 225.0, route_id: route_db78ea66_194_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Thalawa,165.0,"[:Fare {fare: 165.0, route_id: route_db78ea66_324_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Nittabuwa,1130.0,"[:Fare {fare: 1130.0, route_id: route_db78ea66_446_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Nittabuwa,995.0,"[:Fare {fare: 995.0, route_id: route_db78ea66_253_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Nittabuwa,1120.0,"[:Fare {fare: 1120.0, route_id: route_db78ea66_248_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Nittabuwa,1085.0,"[:Fare {fare: 1085.0, route_id: route_db78ea66_37_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Norochchole,600.0,"[:Fare {fare: 600.0, route_id: route_db78ea66_8_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Kalpitiya,735.0,"[:Fare {fare: 735.0, route_id: route_db78ea66_7_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Kiribathgoda,1285.0,"[:Fare {fare: 1285.0, route_id: route_db78ea66_444_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Kiribathgoda,1150.0,"[:Fare {fare: 1150.0, route_id: route_db78ea66_251_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Kiribathgoda,1270.0,"[:Fare {fare: 1270.0, route_id: route_db78ea66_246_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Kiribathgoda,1240.0,"[:Fare {fare: 1240.0, route_id: route_db78ea66_35_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Yakkala,1175.0,"[:Fare {fare: 1175.0, route_id: route_db78ea66_247_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Yakkala,1140.0,"[:Fare {fare: 1140.0, route_id: route_db78ea66_36_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Yakkala,1180.0,"[:Fare {fare: 1180.0, route_id: route_db78ea66_445_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Yakkala,1050.0,"[:Fare {fare: 1050.0, route_id: route_db78ea66_252_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Warakapola,1040.0,"[:Fare {fare: 1040.0, route_id: route_db78ea66_447_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Warakapola,910.0,"[:Fare {fare: 910.0, route_id: route_db78ea66_254_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Warakapola,1030.0,"[:Fare {fare: 1030.0, route_id: route_db78ea66_249_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Warakapola,995.0,"[:Fare {fare: 995.0, route_id: route_db78ea66_38_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Polgahawela,940.0,"[:Fare {fare: 940.0, route_id: route_db78ea66_448_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Polgahawela,900.0,"[:Fare {fare: 900.0, route_id: route_db78ea66_39_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Polgahawela,930.0,"[:Fare {fare: 930.0, route_id: route_db78ea66_250_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Polgahawela,810.0,"[:Fare {fare: 810.0, route_id: route_db78ea66_255_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Palawiya,500.0,"[:Fare {fare: 500.0, route_id: route_db78ea66_9_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Akurana,845.0,"[:Fare {fare: 845.0, route_id: route_db78ea66_317_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Akurana,800.0,"[:Fare {fare: 800.0, route_id: route_db78ea66_375_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Ibbagamuwa,700.0,"[:Fare {fare: 700.0, route_id: route_db78ea66_41_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Ibbagamuwa,735.0,"[:Fare {fare: 735.0, route_id: route_db78ea66_252_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Ibbagamuwa,745.0,"[:Fare {fare: 745.0, route_id: route_db78ea66_450_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Malsiripura,680.0,"[:Fare {fare: 680.0, route_id: route_db78ea66_451_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Malsiripura,635.0,"[:Fare {fare: 635.0, route_id: route_db78ea66_42_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Malsiripura,670.0,"[:Fare {fare: 670.0, route_id: route_db78ea66_253_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Galewela,590.0,"[:Fare {fare: 590.0, route_id: route_db78ea66_254_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Galewela,600.0,"[:Fare {fare: 600.0, route_id: route_db78ea66_452_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Galewela,555.0,"[:Fare {fare: 555.0, route_id: route_db78ea66_43_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Eppawala,245.0,"[:Fare {fare: 245.0, route_id: route_db78ea66_455_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Eppawala,240.0,"[:Fare {fare: 240.0, route_id: route_db78ea66_257_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Galkulama,180.0,"[:Fare {fare: 180.0, route_id: route_db78ea66_46_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Narahenpita,1195.0,"[:Fare {fare: 1195.0, route_id: route_db78ea66_386_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Moratuwa,1285.0,"[:Fare {fare: 1285.0, route_id: route_db78ea66_273_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Madawalaulpatha,680.0,"[:Fare {fare: 680.0, route_id: route_db78ea66_319_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Madawalaulpatha,635.0,"[:Fare {fare: 635.0, route_id: route_db78ea66_377_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Wariyapola,590.0,"[:Fare {fare: 590.0, route_id: route_db78ea66_191_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Dhaladagama,460.0,"[:Fare {fare: 460.0, route_id: route_db78ea66_192_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Dehiwala,1225.0,"[:Fare {fare: 1225.0, route_id: route_db78ea66_385_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,18 Kanuwa,1030.0,"[:Fare {fare: 1030.0, route_id: route_db78ea66_387_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Karuwalagaswawe,400.0,"[:Fare {fare: 400.0, route_id: route_db78ea66_393_1767932356, route_type: Normal Route, fare_type: AC}]"
Medawachchiya,Mundalama,780.0,"[:Fare {fare: 780.0, route_id: route_cb15d6ac_32_1767932250, route_type: Katunayake Expressway, fare_type: AC}]"
Medawachchiya,Mundalama,780.0,"[:Fare {fare: 780.0, route_id: route_db78ea66_338_1767932356, route_type: Normal Route, fare_type: AC}]"
Medawachchiya,Nochchiyagama,365.0,"[:Fare {fare: 365.0, route_id: route_cb15d6ac_34_1767932250, route_type: Katunayake Expressway, fare_type: AC}]"
Medawachchiya,Nochchiyagama,365.0,"[:Fare {fare: 365.0, route_id: route_db78ea66_341_1767932356, route_type: Normal Route, fare_type: AC}]"
Medawachchiya,Anuradhapura,240.0,"[:Fare {fare: 240.0, route_id: route_cb15d6ac_35_1767932250, route_type: Katunayake Expressway, fare_type: AC}]"
Medawachchiya,Anuradhapura,240.0,"[:Fare {fare: 240.0, route_id: route_db78ea66_82_1767932356, route_type: Normal Route, fare_type: AC}]"
Medawachchiya,Anuradhapura,245.0,"[:Fare {fare: 245.0, route_id: route_db78ea66_153_1767932356, route_type: Normal Route, fare_type: AC}]"
Medawachchiya,Kalaoya,460.0,"[:Fare {fare: 460.0, route_id: route_cb15d6ac_275_1767932250, route_type: Katunayake Expressway, fare_type: AC}]"
Medawachchiya,Kalaoya,460.0,"[:Fare {fare: 460.0, route_id: route_db78ea66_340_1767932356, route_type: Normal Route, fare_type: AC}]"
Medawachchiya,Panadura,1470.0,"[:Fare {fare: 1470.0, route_id: route_db78ea66_396_1767932356, route_type: Normal Route, fare_type: AC}]"
Medawachchiya,Brukside Junction,1460.0,"[:Fare {fare: 1460.0, route_id: route_db78ea66_163_1767932356, route_type: Normal Route, fare_type: AC}]"
Medawachchiya,Walapane,1350.0,"[:Fare {fare: 1350.0, route_id: route_db78ea66_164_1767932356, route_type: Normal Route, fare_type: AC}]"
Medawachchiya,Padiyapalalla,1220.0,"[:Fare {fare: 1220.0, route_id: route_db78ea66_165_1767932356, route_type: Normal Route, fare_type: AC}]"
Medawachchiya,Haguranketha,1130.0,"[:Fare {fare: 1130.0, route_id: route_db78ea66_166_1767932356, route_type: Normal Route, fare_type: AC}]"
Medawachchiya,Matale,790.0,"[:Fare {fare: 790.0, route_id: route_db78ea66_168_1767932356, route_type: Normal Route, fare_type: AC}]"
Medawachchiya,Nawula,645.0,"[:Fare {fare: 645.0, route_id: route_db78ea66_169_1767932356, route_type: Normal Route, fare_type: AC}]"
Medawachchiya,Dambulla,550.0,"[:Fare {fare: 550.0, route_id: route_db78ea66_170_1767932356, route_type: Normal Route, fare_type: AC}]"
Medawachchiya,Dambulla,670.0,"[:Fare {fare: 670.0, route_id: route_db78ea66_268_1767932356, route_type: Normal Route, fare_type: AC}]"
Medawachchiya,Kakirawa,425.0,"[:Fare {fare: 425.0, route_id: route_db78ea66_171_1767932356, route_type: Normal Route, fare_type: AC}]"
Medawachchiya,Kakirawa,550.0,"[:Fare {fare: 550.0, route_id: route_db78ea66_269_1767932356, route_type: Normal Route, fare_type: AC}]"
Medawachchiya,Mihintale,200.0,"[:Fare {fare: 200.0, route_id: route_db78ea66_172_1767932356, route_type: Normal Route, fare_type: AC}]"
Medawachchiya,Mihintale,200.0,"[:Fare {fare: 200.0, route_id: route_db78ea66_426_1767932356, route_type: Normal Route, fare_type: AC}]"
Medawachchiya,Marawila,1010.0,"[:Fare {fare: 1010.0, route_id: route_db78ea66_401_1767932356, route_type: Normal Route, fare_type: AC}]"
Medawachchiya,Chilaw,920.0,"[:Fare {fare: 920.0, route_id: route_db78ea66_78_1767932356, route_type: Normal Route, fare_type: AC}]"
Medawachchiya,Nuwaraeliya,1570.0,"[:Fare {fare: 1570.0, route_id: route_db78ea66_162_1767932356, route_type: Normal Route, fare_type: AC}]"
Medawachchiya,Negambo,1150.0,"[:Fare {fare: 1150.0, route_id: route_db78ea66_148_1767932356, route_type: Normal Route, fare_type: AC}]"
Medawachchiya,Katunayake,1180.0,"[:Fare {fare: 1180.0, route_id: route_cb15d6ac_29_1767932250, route_type: Katunayake Expressway, fare_type: AC}]"
Medawachchiya,Kaduwela,780.0,"[:Fare {fare: 780.0, route_id: route_db78ea66_79_1767932356, route_type: Normal Route, fare_type: AC}]"
Medawachchiya,Awissawella,1315.0,"[:Fare {fare: 1315.0, route_id: route_db78ea66_15_1767932356, route_type: Normal Route, fare_type: AC}]"
Medawachchiya,Ahaliyagoda,1390.0,"[:Fare {fare: 1390.0, route_id: route_db78ea66_14_1767932356, route_type: Normal Route, fare_type: AC}]"
Medawachchiya,Ratnapura,1570.0,"[:Fare {fare: 1570.0, route_id: route_db78ea66_13_1767932356, route_type: Normal Route, fare_type: AC}]"
Medawachchiya,Palmadulla,1680.0,"[:Fare {fare: 1680.0, route_id: route_db78ea66_12_1767932356, route_type: Normal Route, fare_type: AC}]"
